provincia_id,depto_id,provincia_nombre,depto_nombre,cultivo,fase_enso,rend_promedio_kgha,rend_general_kgha,rend_vs_promedio_pct,significativo,alguna_fase_sig,n_campanas
6,6007,Buenos Aires,Adolfo Alsina,Cebada,ElNino,2953.9,2994.1,-1.3,False,False,11
6,6007,Buenos Aires,Adolfo Alsina,Cebada,LaNina,3140.8,2994.1,4.9,False,False,13
6,6007,Buenos Aires,Adolfo Alsina,Cebada,Neutral,2810.8,2994.1,-6.1,False,False,8
6,6007,Buenos Aires,Adolfo Alsina,Girasol,ElNino,2087.3,2067.3,1.0,False,False,12
6,6007,Buenos Aires,Adolfo Alsina,Girasol,LaNina,1985.8,2067.3,-3.9,False,False,14
6,6007,Buenos Aires,Adolfo Alsina,Girasol,Neutral,2167.3,2067.3,4.8,False,False,9
6,6007,Buenos Aires,Adolfo Alsina,Maiz,ElNino,5950.7,5603.1,6.2,False,False,12
6,6007,Buenos Aires,Adolfo Alsina,Maiz,LaNina,5204.7,5603.1,-7.1,False,False,14
6,6007,Buenos Aires,Adolfo Alsina,Maiz,Neutral,5759.3,5603.1,2.8,False,False,9
6,6007,Buenos Aires,Adolfo Alsina,Soja1,ElNino,2771.2,2626.1,5.5,False,False,9
6,6007,Buenos Aires,Adolfo Alsina,Soja1,LaNina,2525.4,2626.1,-3.8,False,False,11
6,6007,Buenos Aires,Adolfo Alsina,Soja1,Neutral,2586.2,2626.1,-1.5,False,False,5
6,6007,Buenos Aires,Adolfo Alsina,Soja2,ElNino,2657.5,2465.7,7.8,False,False,8
6,6007,Buenos Aires,Adolfo Alsina,Soja2,LaNina,2322.6,2465.7,-5.8,False,False,10
6,6007,Buenos Aires,Adolfo Alsina,Soja2,Neutral,2439.7,2465.7,-1.1,False,False,4
6,6007,Buenos Aires,Adolfo Alsina,Trigo,ElNino,2845.5,2891.1,-1.6,False,False,12
6,6007,Buenos Aires,Adolfo Alsina,Trigo,LaNina,2950.5,2891.1,2.1,False,False,14
6,6007,Buenos Aires,Adolfo Alsina,Trigo,Neutral,2859.5,2891.1,-1.1,False,False,9
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Cebada,ElNino,4176.5,4075.3,2.5,False,False,12
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Cebada,LaNina,3992.6,4075.3,-2.0,False,False,13
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Cebada,Neutral,4059.7,4075.3,-0.4,False,False,9
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Girasol,ElNino,1966.8,1938.8,1.4,False,False,10
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Girasol,LaNina,1831.8,1938.8,-5.5,False,False,14
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Girasol,Neutral,2091.1,1938.8,7.9,False,False,8
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Maiz,ElNino,5727.7,5884.9,-2.7,False,False,12
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Maiz,LaNina,5850.6,5884.9,-0.6,False,False,13
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Maiz,Neutral,6143.8,5884.9,4.4,False,False,9
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Soja1,ElNino,2460.7,2302.3,6.9,False,False,9
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Soja1,LaNina,2128.8,2302.3,-7.5,False,False,11
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Soja1,Neutral,2398.8,2302.3,4.2,False,False,5
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Soja2,ElNino,1674.0,1599.8,4.6,False,False,8
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Soja2,LaNina,1493.4,1599.8,-6.7,False,False,10
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Soja2,Neutral,1717.7,1599.8,7.4,False,False,4
6,6014,Buenos Aires,Adolfo Gonzales Chaves,Trigo,ElNino,3954.6,3882.8,1.8,False,False,12
